"id","Type","Source","Amount","Fee","Destination Platform Fee","Destination Platform Fee Currency","Net","Currency","Created (UTC)","Available On (UTC)","Description","Customer Facing Amount","Customer Facing Currency","Transfer","Transfer Date (UTC)","Transfer Group","userID (metadata)","site (metadata)","plan_days (metadata)","stripe_user (metadata)","stripe_plan (metadata)"
"txn_3NXIHyHOMTu9eLVo0DTsuRKA","charge","ch_3NXIHyHOMTu9eLVo0VT5c2i0","4.26","2.49",,"hkd","1.77","hkd","2023-07-24 06:30","2023-07-30 16:00",,"4.00","cny","po_1PNoXBHOMTu9eLVoyldBCXaW","2024-06-05 00:00",,,,,"7","30"
"txn_3NRBfdHOMTu9eLVo1wNtgSNl","refund","ch_3NRBfdHOMTu9eLVo1aSkHSvB","-4.23","0.00",,,"-4.23","hkd","2023-07-07 10:15","2023-07-13 16:00","REFUND FOR CHARGE","-4.00","cny","po_1PNoXBHOMTu9eLVoyldBCXaW","2024-06-05 00:00",,,,,,
"txn_3NRBfdHOMTu9eLVo17qXPs6r","charge","ch_3NRBfdHOMTu9eLVo1aSkHSvB","4.23","2.49",,"hkd","1.74","hkd","2023-07-07 10:14","2023-07-13 16:00",,"4.00","cny","po_1PNoXBHOMTu9eLVoyldBCXaW","2024-06-05 00:00",,,,,,
"txn_3NRBVDHOMTu9eLVo1Mcbewig","refund","ch_3NRBVDHOMTu9eLVo107esweQ","-4.23","0.00",,,"-4.23","hkd","2023-07-07 10:06","2023-07-13 16:00","REFUND FOR CHARGE","-4.00","cny","po_1PNoXBHOMTu9eLVoyldBCXaW","2024-06-05 00:00",,,,,,
"txn_3NRBVDHOMTu9eLVo1YJPoKJ2","charge","ch_3NRBVDHOMTu9eLVo107esweQ","4.23","2.49",,"hkd","1.74","hkd","2023-07-07 10:03","2023-07-13 16:00",,"4.00","cny","po_1PNoXBHOMTu9eLVoyldBCXaW","2024-06-05 00:00",,,,,,
"txn_3NRAbzHOMTu9eLVo0RWqpZFy","refund","ch_3NRAbzHOMTu9eLVo0LjT6mwt","-4.23","0.00",,,"-4.23","hkd","2023-07-07 09:12","2023-07-13 16:00","REFUND FOR CHARGE","-4.00","cny","po_1PNoXBHOMTu9eLVoyldBCXaW","2024-06-05 00:00",,,,,,
"txn_3NRAbzHOMTu9eLVo0iH5s2Nd","charge","ch_3NRAbzHOMTu9eLVo0LjT6mwt","4.23","2.49",,"hkd","1.74","hkd","2023-07-07 09:06","2023-07-13 16:00",,"4.00","cny","po_1PNoXBHOMTu9eLVoyldBCXaW","2024-06-05 00:00",,,,,,
"txn_3NQoyoHOMTu9eLVo1RxPmt06","refund","ch_3NQoyoHOMTu9eLVo1MVSVDOd","-4.23","0.00",,,"-4.23","hkd","2023-07-06 10:01","2023-07-12 16:00","REFUND FOR CHARGE","-4.00","cny","po_1PNoXBHOMTu9eLVoyldBCXaW","2024-06-05 00:00",,,,,,
"txn_3NQoyoHOMTu9eLVo15MfTD3H","charge","ch_3NQoyoHOMTu9eLVo1MVSVDOd","4.23","2.49",,"hkd","1.74","hkd","2023-07-06 10:00","2023-07-12 16:00",,"4.00","cny","po_1PNoXBHOMTu9eLVoyldBCXaW","2024-06-05 00:00",,,,,,
"txn_3NQojAHOMTu9eLVo02vc9PqR","refund","ch_3NQojAHOMTu9eLVo0OpOCftZ","-4.23","0.00",,,"-4.23","hkd","2023-07-06 09:45","2023-07-12 16:00","REFUND FOR CHARGE","-4.00","cny","po_1PNoXBHOMTu9eLVoyldBCXaW","2024-06-05 00:00",,,,,,
"txn_3NQojAHOMTu9eLVo0E3Xt9fK","charge","ch_3NQojAHOMTu9eLVo0OpOCftZ","4.23","2.49",,"hkd","1.74","hkd","2023-07-06 09:44","2023-07-12 16:00",,"4.00","cny","po_1PNoXBHOMTu9eLVoyldBCXaW","2024-06-05 00:00",,,,,,
